Description,Id,ExternalId
Ballot 1 - Type 1,1,
Ballot 2 - Type 2,2,
Ballot 3 - Type 3,3,
Ballot 4 - Type 4,4,
Ballot 5 - Type 5,5,
Ballot 6 - Type 6,6,
Ballot 7 - Type 7,7,
Ballot 8 - Type 8,8,
Ballot 9 - Type 9,9,
Ballot 10 - Type 10,10,
Ballot 11 - Type 11,11,
Ballot 12 - Type 12,12,
Ballot 13 - Type 13,13,
Ballot 14 - Type 14,14,
Ballot 15 - Type 15,15,
Ballot 16 - Type 16,16,
Ballot 17 - Type 17,17,
Ballot 18 - Type 18,18,
Ballot 19 - Type 19,19,
Ballot 20 - Type 20,20,
Ballot 21 - Type 21,21,
Ballot 22 - Type 22,22,
Ballot 23 - Type 23,23,
Ballot 24 - Type 24,24,
Ballot 25 - Type 25,25,
Ballot 26 - Type 26,26,
Ballot 27 - Type 27,27,
Ballot 28 - Type 28,28,
Ballot 29 - Type 29,29,
Ballot 30 - Type 30,30,
Ballot 31 - Type 31,31,
Ballot 32 - Type 32,32,
Ballot 33 - Type 33,33,
Ballot 34 - Type 34,34,
Ballot 35 - Type 35,35,
Ballot 36 - Type 36,36,
Ballot 37 - Type 37,37,
Ballot 38 - Type 38,38,
Ballot 39 - Type 39,39,
Ballot 40 - Type 40,40,
Ballot 41 - Type 41,41,
Ballot 42 - Type 42,42,
Ballot 43 - Type 43,43,
Ballot 44 - Type 44,44,
Ballot 45 - Type 45,45,
Ballot 46 - Type 46,46,
Ballot 47 - Type 47,47,
Ballot 48 - Type 48,48,
Ballot 49 - Type 49,49,
Ballot 50 - Type 50,50,
Ballot 51 - Type 51,51,
Ballot 52 - Type 52,52,
Ballot 53 - Type 53,53,
Ballot 54 - Type 54,54,
Ballot 55 - Type 55,55,
Ballot 56 - Type 56,56,
Ballot 57 - Type 57,57,
Ballot 58 - Type 58,58,
Ballot 59 - Type 59,59,
Ballot 60 - Type 60,60,
Ballot 61 - Type 61,61,
Ballot 62 - Type 62,62,
Ballot 63 - Type 63,63,
Ballot 64 - Type 64,64,
Ballot 65 - Type 65,65,
Ballot 66 - Type 66,66,
Ballot 67 - Type 67,67,
Ballot 68 - Type 68,68,
Ballot 69 - Type 69,69,
Ballot 70 - Type 70,70,
Ballot 71 - Type 71,71,
Ballot 72 - Type 72,72,
Ballot 73 - Type 73,73,
Ballot 74 - Type 74,74,
Ballot 75 - Type 75,75,
Ballot 76 - Type 76,76,
Ballot 77 - Type 77,77,
Ballot 78 - Type 78,78,
Ballot 79 - Type 79,79,
Ballot 80 - Type 80,80,
Ballot 81 - Type 81,81,
Ballot 82 - Type 82,82,
Ballot 83 - Type 83,83,
Ballot 84 - Type 84,84,
